ub,lb,time,src
1.0e100, 1.3438362095e6, 2.5400872230529785, 0.0
1.0e100, 1.3438362095000017e6, 5.880434036254883, 0.0
1.0e100, 1.3438362095000045e6, 11.298729181289673, 0.0
1.4454028070745624e6, 1.3438362095000045e6, 33.1295530796051, 0.0
1.438511019355896e6, 1.3438362095000045e6, 33.130139112472534, 0.0
1.4372858328110059e6, 1.3438362095000045e6, 37.32702612876892, 0.0
1.436673813562664e6, 1.3438362095000045e6, 47.58198308944702, 0.0
1.4357788027444826e6, 1.3438362095000045e6, 47.583455085754395, 0.0
1.4281534852440741e6, 1.3438362095000045e6, 47.58412313461304, 0.0
1.4281442339541526e6, 1.3438362095000045e6, 53.237606048583984, 0.0
1.4256026214002054e6, 1.3438362095000045e6, 58.96266722679138, 0.0
1.390391625514515e6, 1.3438362095000045e6, 80.26935601234436, 0.0
1.382500311547557e6, 1.3438362095000045e6, 80.27018618583679, 0.0
1.3760139952507978e6, 1.3438362095000045e6, 80.27093505859375, 0.0
1.3760139950966546e6, 1.3438362095000045e6, 167.53378200531006, 0.0
1.3669103911845628e6, 1.3438362095000045e6, 326.5103189945221, 0.0
1.3669103911845628e6, 1.3438362095000083e6, 380.5247550010681, 0.0
1.3669103911845628e6, 1.343836209500656e6, 381.11548614501953, 0.0
1.365795454931966e6, 1.343836209500656e6, 410.0682899951935, 0.0
1.3638378421318315e6, 1.343836209500656e6, 412.69856119155884, 0.0
1.3627171604028782e6, 1.343836209500656e6, 442.44071102142334, 0.0
1.3626894213177387e6, 1.343836209500656e6, 471.68163299560547, 0.0
1.3617990870274599e6, 1.343836209500656e6, 604.7370660305023, 0.0
1.3607832553249444e6, 1.343836209500656e6, 604.7379190921783, 0.0
1.356981603404021e6, 1.343836209500656e6, 604.7387011051178, 0.0
1.3569816032381505e6, 1.343836209500656e6, 622.0462641716003, 0.0
1.3552334752429011e6, 1.343836209500656e6, 806.6272280216217, 0.0
1.3552319429785456e6, 1.343836209500656e6, 814.0313181877136, 0.0
1.3543574261607449e6, 1.343836209500656e6, 819.4669480323792, 0.0
1.3543426311512145e6, 1.343836209500656e6, 819.4682791233063, 0.0
1.3541880790228802e6, 1.343836209500656e6, 819.4694800376892, 0.0
1.353509222476236e6, 1.343836209500656e6, 845.6267881393433, 0.0
1.3534920047754592e6, 1.343836209500656e6, 845.6320731639862, 0.0
1.3534319703561896e6, 1.343836209500656e6, 852.8768842220306, 0.0
1.3532712988492579e6, 1.343836209500656e6, 852.8783431053162, 0.0
1.3532712988492579e6, 1.343836209500656e6, 900.0, 0.0
