incumbent,lb,time,rank
1.0e100, 1.097783376091776e6, 1.2037792205810547, 0.0
1.0e100, 1.1002386846334287e6, 1.3523826599121094, 0.0
1.0e100, 1.1002470632622077e6, 1.3982601165771484, 0.0
1.0e100, 1.1010030841755865e6, 1.5757865905761719, 0.0
1.0e100, 1.101003084175587e6, 1.7363567352294922, 0.0
1.0e100, 1.1010030841755925e6, 2.6389427185058594, 0.0
1.1217086931295998e6, 1.1010030841755925e6, 3.360015869140625, 1.0
1.0e100, 1.1010030841755942e6, 3.6402664184570312, 0.0
1.1217086931295996e6, 1.1010030841755942e6, 3.6931228637695312, 0.0
1.1217086931295996e6, 1.1010030841756396e6, 3.8526973724365234, 0.0
1.1929849438864766e6, 1.1010030841756396e6, 8.974002838134766, 1.0
1.1217086931295996e6, 1.1010030841756396e6, 8.979988098144531, 0.0
1.1580464897739536e6, 1.1010030841756396e6, 10.283500671386719, 1.0
1.1217086931295996e6, 1.1010030841756396e6, 10.284500122070312, 0.0
1.1377387777612046e6, 1.1010030841756396e6, 17.915096282958984, 1.0
1.1217086931295996e6, 1.1010030841756396e6, 17.917091369628906, 0.0
1.1190799891939352e6, 1.1010030841756396e6, 17.92307472229004, 0.0
1.1328010204147978e6, 1.1010030841756396e6, 17.926067352294922, 1.0
1.1190799891939352e6, 1.1010030841756396e6, 17.927064895629883, 0.0
1.128002534281257e6, 1.1010030841756396e6, 19.865880966186523, 1.0
1.1190799891939352e6, 1.1010030841756396e6, 19.866878509521484, 0.0
1.1175549361555057e6, 1.1010030841756396e6, 19.875852584838867, 1.0
1.117554936155506e6, 1.1010030841756396e6, 19.87784767150879, 0.0
1.1174500311544624e6, 1.1010030841756396e6, 36.80459022521973, 1.0
1.1058477585190418e6, 1.1010030841756396e6, 36.80758285522461, 0.0
1.1084832577230586e6, 1.1010030841756396e6, 39.26900100708008, 1.0
1.1058477585190418e6, 1.1010030841756396e6, 39.26999855041504, 0.0
1.1084832577230586e6, 1.1010030841756396e6, 41.59577941894531, 1.0
1.1058477585190418e6, 1.1010030841756396e6, 41.596778869628906, 0.0
1.1042428976585509e6, 1.1010030841756396e6, 64.46363830566406, 0.0
1.1050239173761052e6, 1.1010030841756396e6, 72.22687911987305, 1.0
1.1042428976585509e6, 1.1010030841756396e6, 72.99283027648926, 0.0
1.1040473857576223e6, 1.1010030841756396e6, 77.28535461425781, 1.0
1.104047385757622e6, 1.1010030841756396e6, 77.28834533691406, 0.0
1.1034380737444123e6, 1.1010030841756396e6, 77.79898071289062, 1.0
1.103438073744412e6, 1.1010030841756396e6, 77.80097579956055, 0.0
1.1032141859656663e6, 1.1010030841756396e6, 105.62557983398438, 1.0
1.103214185965666e6, 1.1010030841756396e6, 105.62857246398926, 0.0
1.102713217262014e6, 1.1010030841756396e6, 112.73556900024414, 1.0
1.1027132172620143e6, 1.1010030841756396e6, 112.73856163024902, 0.0
1.102707645500514e6, 1.1010030841756396e6, 117.2335433959961, 1.0
1.1026386448539083e6, 1.1010030841756396e6, 120.77906227111816, 1.0
1.102638644853908e6, 1.1010030841756396e6, 120.78105735778809, 0.0
1.1016809080486123e6, 1.1010030841756396e6, 138.17953872680664, 1.0
1.1016809080486125e6, 1.1010030841756396e6, 138.18352699279785, 0.0
1.1016688436382622e6, 1.1010030841756396e6, 168.4476089477539, 1.0
1.1016688436382625e6, 1.1010030841756396e6, 168.45059967041016, 0.0
1.1016047265458733e6, 1.1010030841756396e6, 171.38375663757324, 1.0
1.101521049649915e6, 1.1010030841756396e6, 245.0797119140625, 1.0
1.1015210496499147e6, 1.1010030841756396e6, 245.0846996307373, 0.0
1.10132819984136e6, 1.1010030841756396e6, 314.4103374481201, 1.0
1.1013117149833834e6, 1.1010030841756396e6, 342.46034049987793, 1.0
1.1012941874132124e6, 1.1010030841756396e6, 389.1764316558838, 1.0
1.1012941874132126e6, 1.1010030841756396e6, 389.18042182922363, 0.0
1.1012941874132124e6, 1.1010030841756396e6, 437.70667457580566, 1.0
1.1012941874132126e6, 1.1010030841756396e6, 437.70767974853516, 0.0
1.1011990647253143e6, 1.1010030841756396e6, 485.6085948944092, 0.0
1.1011116961336578e6, 1.1010030841756396e6, 485.6175708770752, 0.0
1.1011116961336578e6, 1.1010030841756396e6, 485.6175708770752, 0.0
