ub,lb,time,src
1.1204644159327745e6, 1.101003084175641e6, 0.45123291015625, 0.0
1.1204644159327745e6, 1.1010030841756873e6, 0.5961599349975586, 0.0
1.1204644159327745e6, 1.101003084175848e6, 0.7261309623718262, 0.0
1.1204644159327745e6, 1.1010030841759914e6, 1.0436890125274658, 0.0
1.1124567284500948e6, 1.1010030841759914e6, 2.831244945526123, 0.0
1.1114350296780122e6, 1.1010030841759914e6, 3.266094923019409, 0.0
1.110879846679945e6, 1.1010030841759914e6, 3.266484022140503, 0.0
1.1106818253150072e6, 1.1010030841759914e6, 3.2667319774627686, 0.0
1.1092087722262507e6, 1.1010030841759914e6, 3.2679688930511475, 0.0
1.1089587385053765e6, 1.1010030841759914e6, 3.268394947052002, 0.0
1.1065062454437222e6, 1.1010030841759914e6, 3.668735980987549, 0.0
1.1065062454437222e6, 1.1010030841793546e6, 6.460218906402588, 0.0
1.1065062454437222e6, 1.101003084229903e6, 6.551728963851929, 0.0
1.1061233025984406e6, 1.101003084229903e6, 9.666947841644287, 0.0
1.105840935632815e6, 1.101003084229903e6, 9.899439811706543, 0.0
1.1056218481422332e6, 1.101003084229903e6, 9.900040864944458, 0.0
1.1056207561490224e6, 1.101003084229903e6, 9.900621891021729, 0.0
1.1055581644929303e6, 1.101003084229903e6, 9.901141881942749, 0.0
1.1055155991139123e6, 1.101003084229903e6, 14.710034847259521, 0.0
1.105486977024939e6, 1.101003084229903e6, 16.53382897377014, 0.0
1.1051063296704125e6, 1.101003084229903e6, 17.27599000930786, 0.0
1.1045274802431436e6, 1.101003084229903e6, 20.79616093635559, 0.0
1.1045206380750192e6, 1.101003084229903e6, 20.796737909317017, 0.0
1.1044312925669989e6, 1.101003084229903e6, 29.64194393157959, 0.0
1.1044312763920985e6, 1.101003084229903e6, 33.252070903778076, 0.0
1.104406412123534e6, 1.101003084229903e6, 33.25389003753662, 0.0
1.1044063959155073e6, 1.101003084229903e6, 33.255085945129395, 0.0
1.1041991502981572e6, 1.101003084229903e6, 39.77596998214722, 0.0
