ub,lb,time,src
2.2857621762415227e6, 2.2500825792000005e6, 3.1273088455200195, 0.0
2.2857621762415227e6, 2.2500825792000038e6, 3.6441709995269775, 0.0
2.2857621762415227e6, 2.2500825792000205e6, 6.431272983551025, 0.0
2.281195552739159e6, 2.2500825792000205e6, 219.06312084197998, 0.0
2.281195552739159e6, 2.2500825792000303e6, 449.5236928462982, 0.0
2.281195552739159e6, 2.250082579200086e6, 472.9926779270172, 0.0
2.2692108076714417e6, 2.250082579200086e6, 611.9657678604126, 0.0
2.2672131483522225e6, 2.250082579200086e6, 611.9680888652802, 0.0
2.267211639495424e6, 2.250082579200086e6, 812.7681369781494, 0.0
2.2672052218021983e6, 2.250082579200086e6, 812.7694997787476, 0.0
2.26720278281131e6, 2.250082579200086e6, 812.7705588340759, 0.0
2.266904884943072e6, 2.250082579200086e6, 812.771556854248, 0.0
2.2662660442236415e6, 2.250082579200086e6, 812.7729268074036, 0.0
2.2662660442236415e6, 2.250082579200086e6, 900.0, 0.0
